price,model,title
"50,000.00",RAU324IVD,"Hitachi RAU324IVD Split AC (2 Ton, 3 Star Rating, White, Copper)"
"34,990.00",RAU312HVD,"Hitachi RAU312HVD Split AC (1 Ton, 3 Star Rating, White, Copper)"
"45,490.00",RAU223HVD,"Hitachi RAU223HVD Split AC (2 Ton, 2 Star Rating, White, Copper)"
"39,990.00",RAU318HVD,"Hitachi RAU318HVD Split AC ( 1.5 Ton, 3 Star Rating, White, Copper)"
"32,490.00",GSC 18 USZ 5 WPR,"Godrej 1.5 Ton 5 Star Split AC (GSC 18 USZ 5 WPR, White)"
NA,LWA3GP2A,"LG LWA3GP2A L-Gratis Plus Window AC (1 Ton, 2 Star Rating, White, Copper)"
"49,490.00",LSA6TM3D1,"LG LSA6TM3D1 L-Terminator Split AC (2 Ton, 3 Star Rating, White, Aluminium)"
"43,990.00",LSA6VF2D1,"LG LSA6VF2D1 L-Vogue Floral Split AC (2 Ton, 2 Star Rating, White, Aluminium)"
"46,990.00",LSA6VP3D1,"LG LSA6VP3D1 L-Vogue Plus Split AC (2 Ton, 3 Star Rating, White, Aluminium)"
"49,990.00",LSA6WT3D1,"LG LSA6WT3D1 L-Energia Split AC (2 Ton, 3 Star Rating, Wine Red, Aluminium)"
"23,790.00",LWA3BP2A,"LG LWA3BP2A L-Bliss Plus Window AC (1 Ton, 2 Star Rating, White, Copper)"
"31,490.00",LSA3SP2D,"LG LSA3SP2D L-Stella Plus Split AC (1 Ton, 2 Star Rating, White, Copper)"
"30,500.00",LS19A3FX,"Lloyd Curvy LS19A3FX Split AC (1.5 Ton, 3 Star Rating, White)"
"37,990.00",LSA3GT5D,"LG LSA3GT5D L-Energia Split AC (1 Ton, 5 Star Rating, Grey, Aluminium)"
"30,990.00",LSA3MP2D,"LG LSA3MP2D L-Maxima Plus Split AC (1 Ton, 2 Star Rating, White, Aluminium)"
"32,990.00",LSA3MP3D,"LG LSA3MP3D L-Maxima Plus Split AC (1 Ton, 3 Star Rating, White, Aluminium)"
"41,000.00",LS24A3FX,"Lloyd Curvy LS24A3FX Split AC (2 Ton, 3 Star Rating, White)"
"43,700.00",2HW24OB1,"Blue Star 2HW24OB1 Split AC (2 Ton, 2 Star Rating, White, Copper)"
"33,000.00",3HW12VD,"Blue Star 3HW12VD Split AC(1 Ton, 3 Star Rating, White)"
NA,FTEL50NRV,"Daikin FTEL50NRV Split AC (1.5 Ton, 1 Star Rating, White)"
"61,500.00",FTKD60,"Daikin FTKD60 Inverter Split AC (1.8 Ton, White)"
NA,CS/CU-YC12QKYT2,"Panasonic CS/CU-YC12QKYT2 Split AC (1 Ton, 2 Star Rating, Metallic Red, Copper)"
"32,500.00",S183SMH,"Onida S183SMH Split AC (1.5 Ton, 3 Star Rating, White, Copper)"
"37,000.00",S185CUR,"Onida S185CUR Split AC (1.5 Ton, 5 Star Rating, White, Aluminium)"
NA,CS/CU-YC18QKYH3,"Panasonic CS/CU-YC18QKYH3 Split AC (1.5 Ton, 3 Star Rating, Metallic Grey, Copper)"
NA,CS/CU-YC24QKYH3,"Panasonic CS/CU-YC24QKYH3 Split AC (2 Ton, 3 Star Rating, Metallic Grey, Copper)"
NA,CS/CU-UC12QKYT3,"Panasonic CS/CU-UC12QKYT3 Split AC (1 Ton, 3 Star Rating, Metallic Red, Copper)"
NA,CS/CU-UC18QKYT3,"Panasonic CS/CU-UC18QKYT3 Split AC (1.5 Ton, 3 Star Rating, Metallic Red, Copper)"
NA,CS/CU-UC24QKYT3,"Panasonic CS/CU-UC24QKYT3 Split AC (2 Ton, 3 Star Rating, Metallic Red, Copper)"
NA,FTKE35GV,"Daikin FTKE35GV Split AC (1 Ton, White)"
NA,5HW18ZARF1,"Blue Star 5HW18ZARF1 Split AC (1.5 Ton, 5 Star Rating, Wine Red, Aluminium)"
"63,400.00",HNHW24CBF,"Blue Star HNHW24CBF Split AC (2 Ton, White, Copper)"
"59,200.00",FTKV60NRV16,"Daikin FTKV60NRV16 Split AC (2 Ton, White)"
NA,FTKE25GV,"Daikin FTKE25GV Split AC (0.75 Ton, White)"
NA,3HW24JA1,"Blue Star 3HW24JA1 Split AC (2 Ton, 3 Star Rating, )"
NA,HN4hpAFO,"Blue Star HN4hpAFO Split AC (4.5 Ton, White, Copper)"
