price,model,title
"14,499.00",GL-B221APZW.DPZZEBN,"LG 215 L 3 Star Direct-Cool Single Door Refrigerator (GL-B221APZW.DPZZEBN, Shiny Steel)"
"15,490.00",GL-D201AHAW.AHAZEBN,"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-D201AHAW.AHAZEBN, Hazel Aster)"
"15,290.00",GL-B201ASOX.ASOZEBN,"LG 190 L 4 Star Direct-Cool Single Door Refrigerator (GL-B201ASOX.ASOZEBN, Scarlet Orchid)"
NA,GL-D221APAW.DPAZEBN,"LG 215 L 3 Star Direct-Cool Single Door Refrigerator (GL-D221APAW.DPAZEBN, Purple Aster)"
"14,499.00",GL-B201APOX.APOZEBN,"LG 190 L 4 Star Direct-Cool Single Door Refrigerator (GL-B201APOX.APOZEBN, Purple Orchid)"
"13,990.00",GL-B201ADSW.ADSZEBN,"LG 190 L 3 Star Direct-Cool Single Door Refrigerator (GL-B201ADSW.ADSZEBN, Dazzle Steel)"
"15,499.00",GL-D201ASOX.ASOZEBN,"LG 190 L 4 Star Direct-Cool Single Door Refrigerator (GL-D201ASOX.ASOZEBN, Scarlet Orchid)"
"15,499.00",GL-D201APOX.APOZEBN,"LG 190 L 4 Star Direct-Cool Single Door Refrigerator (GL-D201APOX.APOZEBN, Purple Orchid)"
"11,490.00",HRD-1953SR-R/HRD-1953SR-E,"Haier 195 L 3 Star Direct-Cool Single Door Refrigerator (HRD-1953SR-R/HRD-1953SR-E, Red)"
"11,999.00",205 GENIUS CLS PLUS 3S GREY-E,"Whirlpool 190 L 3 Star Direct-Cool Single Door Refrigerator (205 GENIUS CLS PLUS 3S GREY, Grey)"
"12,090.00",RR19M2712RJ/RR19M1712RJ,"Samsung 192 L 2 Star Direct Cool Refrigerator (RR19M2712RJ/RR19M1712RJ, Royal Tendril Red)"
"6,950.00",HR-62VS,"Haier 52 L 3 Star Direct-Cool Single Door Refrigerator (HR-62VS, Silver Grey)"
"10,490.00",HRD-1703SR-R/HRD-1703SR-E,"Haier 170 L 3 Star Direct-Cool Single Door Refrigerator (HRD-1703SR-R/HRD-1703SR-E, Burgundy Red)"
