price,model,title
"25,545.00",Amazon/Seller Fulfilled,"Samsung WA70K4400HA/TL Fully-automatic Top-loading Washing Machine (7 Kg, Inox)"
NA,WA65K4200HA,"Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65K4200HA, Sparkling Black and light grey)"
"19,490.00",T7508TEDLL,"LG 6.5 kg Fully-Automatic Top Loading Washing Machine (T7508TEDLL, Cool Grey)"
"18,500.00",WA62K4200HB,"Samsung 6.2 kg Fully-Automatic Top Loading Washing Machine (WA62K4200HB, Sparkling Caribbean Blue and light grey)"
"25,990.00",T8077TEELK,"LG T8077TEELK Fully-automatic Top-loading Washing Machine (7 Kg, Black Knight)"
"17,890.00",T7208TDDLM,"LG 6.2 kg Fully-Automatic Top Loading Washing Machine (T7208TDDLM, Middle Free Silver and Middle Middle free silver)"
"18,490.00",Stainwash Deep Clean 6.5,"Whirlpool 6.5 kg Fully-Automatic Top Loading Washing Machine (Stainwash Deep Clean 6.5, Grey)"
"15,290.00",NA-F62B5HRB/NA-F62B3HRB,"Panasonic 6.2 kg Fully-Automatic Top Loading Washing Machine (NA-F62B5HRB/NA-F62B3HRB, Grey)"
"13,990.00",WT 620 CFS,"Godrej 6.2 kg Fully-Automatic Top Loading Washing Machine (WT 620 CFS, Graphite Gray)"
"22,500.00",WT EON 651 PFH,"Godrej WT EON 651 PFH Fully-automatic Top-loading Washing Machine (6.5 Kg , Royal Grey)"
"12,623.00",WT 600 C,"Godrej 6 kg Fully-Automatic Top Loading Washing Machine (WT 600 C, Silky Grey)"
"19,490.00",TL-RCG 6.5Kg AQUA,"IFB 6.5 kg Fully-Automatic Top Loading Washing Machine (TL-RCG 6.5Kg AQUA, Graphite Grey)"
"15,790.00",WA62H4100HD,"Samsung 6.2 kg Fully-Automatic Top Loading Washing Machine (WA62H4100HD, Brown/Silver)"
NA,T7071TDDL,"LG 6 kg Fully-Automatic Top Loading Washing Machine (T7071TDDL, Blue/White/Middle Free Silver)"
"20,999.00",TL-SDG 7.0Kg AQUA,"IFB 7 kg Fully-Automatic Top Loading Washing Machine (TL-SDG 7.0Kg AQUA, Sparkling Silver)"
"16,690.00",T7208TDDLZ,"LG 6.2 kg Fully-Automatic Top Loading Washing Machine (T7208TDDLZ, Blue White and Middle Deep Brown Top)"
"13,490.00",MiFAWM75v20,"Mitashi 7.5 kg Fully Automatic Top Loading Washing Machine (MiFAWM75v20, Grey)"
"16,100.00",Whitemagic Premier 6.5,"Whirlpool 6.5 kg Fully-Automatic Top Loading Washing Machine (Whitemagic Premier 6.5, Grey)"
"13,990.00",BFATL72N1,"BPL 7.2 kg Fully-Automatic Top Loading Washing Machine (BFATL72N1, Grey)"
"11,690.00",58-020-R,"Haier 5.8 kg Fully-Automatic Top Loading Washing Machine (58-020-R, Red)"
"16,999.00",TL-RDW 6.5kg Aqua,"IFB 6.5 kg Fully-Automatic Top Loading Washing Machine (TL-RDW 6.5kg Aqua, Ivory White)"
"28,990.00",Senorita Aqua VX,"IFB 6.5 kg Fully-Automatic Front Loading Washing Machine (Senorita Aqua VX , White)"
"26,999.00",WAK20165IN,"Bosch 6.5 kg Fully-Automatic Front Loading Washing Machine (WAK20165IN, White)"
"27,390.00",FH0G7NDNL02,"LG 6 kg Fully-Automatic Front Loading Washing Machine (FH0G7NDNL02, Blue White)"
"38,800.00",FH0G7QDNL02,"LG 7 kg Fully-Automatic Front Loading Washing Machine (FH0G7QDNL02, White)"
"29,490.00",FH0B8NDL25,"LG 6 kg Fully-Automatic Front Loading Washing Machine (FH0B8NDL25, Luxury Silver)"
"38,999.00",WAT24168IN,"Bosch 8 kg Fully-Automatic Front Loading Washing Machine (WAT24168IN, Silver)"
"17,805.00",WOF5508NW,"Onida 5.5 kg Fully-Automatic Front Loading Washing Machine (WOF5508NW, White)"
"28,161.00",Elena Aqua SX,"IFB 6 kg Fully-Automatic Front Loading Washing Machine (Elena Aqua SX , Silver)"
NA,FH0B8NDL2,"LG 6 kg Fully-Automatic Front Loading Washing Machine (FH0B8NDL2, Blue and White)"
"32,499.00",Elite Aqua SX,"IFB 7 kg Fully-Automatic Front Loading Washing Machine (Elite Aqua SX , Silver)"
"23,999.00",WAB16161IN,"Bosch 6 kg Fully-Automatic Front Loading Washing Machine (WAB16161IN, White)"
"37,999.00",Executive Plus VX,"IFB 8.5 kg Fully-Automatic Front Loading Washing Machine (Executive Plus VX, White)"
"24,499.00",Eva Aqua SX,"IFB 6 kg Fully-Automatic Front Loading Washing Machine (Eva Aqua SX, Silver)"
"51,989.00",WVG30460IN,"Bosch 8 kg/5 kg Washer Dryer (WVG30460IN, White)"
"28,690.00",FH0B8NDL22,"LG 6 kg Fully-Automatic Front Loading Washing Machine (FH0B8NDL22, Blue White)"
"22,490.00",WAB16060IN,"Bosch 6 kg Fully-Automatic Front Loading Washing Machine (WAB16060IN, White)"
"27,999.00",WAK20160IN,"Bosch 7 kg Fully-Automatic Front Loading Washing Machine (WAK20160IN, White)"
"30,999.00",Senorita Aqua SX,"IFB 6.5 kg Fully-Automatic Front Loading Washing Machine (Senorita Aqua SX , Silver)"
"34,445.00",Senator Aqua SX,"IFB 8 kg Fully-Automatic Front Loading Washing Machine (Senator Aqua SX, Silver)"
"26,990.00",WAK20166IN,"Bosch 6.5 kg Fully-Automatic Front Loading Washing Machine (WAK20166IN, Titanium)"
"29,999.00",WAK24168IN,"Bosch 7 kg Fully-Automatic Front Loading Washing Machine (WAK24168IN, Silver)"
"10,999.00",GWS 6502 PPC,"Godrej GWS 6502 PPC Semi-Automatic Top-loading Washing Machine (6.5 Kg, Red)"
"4,850.00",LTPL4060,LTPL4060 Portable Mini Washing Machine 4.6 Kg wash & 2 Kg dry - Red & Black
"14,490.00",P9042R3SM,"LG 8.0 kg Semi-Automatic Top Loading Washing Machine (P9042R3SM, Burgundy)"
"9,490.00",WMSA80CR,"Intex 8 kg Semi-Automatic Top Loading Washing Machine (WMSA80CR, White and Cherry Red)"
NA,P8053R3SA,"LG 7.0 kg Semi-Automatic Top Loading Washing Machine (P8053R3SA, Burgundy)"
"11,890.00",WT657QPNDPGXTL,"Samsung 6.5 kg Semi-Automatic Top Loading Washing Machine (WT657QPNDPGXTL, White and Maroon)"
"12,590.00",GB58615,"Godrej 7 kg Semi-Automatic Top Loading Washing Machine (WS 700 CT, Wine Red)"
"14,990.00",WS 800 PDS,"Godrej WS 800 PDS Semi-automatic Top-loading Washing Machine (8 Kg, Lilac Sprinkle)"
"12,280.00",WS Edge 700 CT,"Godrej WS Edge 700 CT Semi-automatic Top-loading Washing Machine (7 Kg, Lavender)"
NA,P1515R3SA,"LG P1515R3SA Semi-automatic Top-loading Washing Machine (9.5 Kg, Burgundy)"
"13,590.00",P8239R3SA(BG),"LG 7.2 kg Semi-Automatic Top Loading Washing Machine (P8239R3SA(BG), Burgundry)"
"8,590.00",VS60A12-DMU,"Videocon VS60A12-DMU Storm Prime Semi-automatic Top-loading Washing Machine (6 Kg, Dark Maroon)"
"11,866.00",WT655QPNDRP,"Samsung 6.5 kg Semi-Automatic Top Loading Washing Machine (WT655QPNDRP, White and Purple)"
"15,200.00",WS 800 PD,"Godrej WS 800 PD Semi-automatic Washing Machine (8 Kg, Rose Sprinkle)"
"14,500.00",Ace 8.2 Stainfree,"Whirlpool Ace 8.2 Stainfree Semi-automatic Top-loading Washing Machine (8.2 Kg, Flora Red)"
NA,GWS 7002 PPC,"Godrej GWS7002PPC Semi-Automatic Top-loading Washing Machine (7 Kg, Red)"
"13,190.00",P8540R3F,"LG P8540R3FM(DB) Semi Automatic Top-Loading Washing Machine (7.5Kg, Dark Blue)"
"12,600.00",ACE 8.0 Supersoak,"Whirlpool ACE 8.0 Supersoak Semi-automatic Top-loading Washing Machine (8 Kg, Blue)"
