price,model,title
"32,999",FH0B8QDL22,LG 7 kg Fully Automatic Front Load Washing Machine
"23,999",Eva Aqua SX,IFB 6 kg Fully Automatic Front Load Washing Machine
"12,990",Ace 8.0 Stainfree,Whirlpool 8 kg Semi Automatic Top Load Washing Machine Blue
"12,799",P8537R3SA,LG 7.5 kg Semi Automatic Top Load Washing Machine Purple
"13,990",Ace 8.5 Stainfree,Whirlpool 8.5 kg Semi Automatic Top Load Washing Machine Grey
"13,990",Ace 8.5 Stainfree,Whirlpool 8.5 kg Semi Automatic Top Load Washing Machine Red
"13,990",Ace 8.5 Stainfree,Whirlpool 8.5 kg Semi Automatic Top Load Washing Machine Blue
"10,699",Ace 7.2 Supreme,Whirlpool 7.2 kg Semi Automatic Top Load Washing Machine
"12,490",ACE 8.0 TURBO DRY,Whirlpool 8 kg Semi Automatic Top Load Washing Machine
"12,290",ACE 8.0 TURBO DRY,Whirlpool 8 kg Semi Automatic Top Load Washing Machine
"13,999",MiSAWM98v25 AJD,Mitashi 9.8 kg Semi Automatic Top Load Washing Machine Silver
"8,709",HTW65-113S,Haier 6.5 kg Semi Automatic Top Load Washing Machine
"11,999",P8053R3SA,LG 7 kg Semi Automatic Top Load Washing Machine Maroon
"13,199",P9039R3SM,LG 8 kg Semi Automatic Top Load Washing Machine Grey
"9,499",HTW72-187S,"Haier 7.2 kg Semi Automatic Top Load Washing Machine White, Grey"
"9,199",SUPERB ATOM 62I,Whirlpool 6.2 kg Semi Automatic Top Load Washing Machine
"14,028",WT1007AG/TL,Samsung 8 kg Semi Automatic Top Load Washing Machine
"11,750",S80SCTR,Onida 8 kg Semi Automatic Top Load Washing Machine Red
"11,999",WS 700 CT,Godrej 7 kg Semi Automatic Top Load Washing Machine
"9,990",WMS80TG,Intex 8 kg Semi Automatic Top Load Washing Machine
"8,499",MiSAWM70v25 AJD With Air Jet Dryer,Mitashi 7 kg Semi Automatic Top Load Washing Machine White
"7,490",GWM-620GA,GEM 6.2 kg Semi Automatic Top Load Washing Machine
"14,099",WT 9505EG,Samsung 7.5 kg Semi Automatic Top Load Washing Machine
"13,195",WT9001EG,Samsung 7 kg Semi Automatic Top Load Washing Machine
"6,999",BSATL65N1,BPL 6.5 kg Semi Automatic Top Load Washing Machine
"12,889",WT725QPNDMPXTL,Samsung 7.2 kg Semi Automatic Top Load Washing Machine
"15,499",WM Classic Plus 651S,Whirlpool 6.5 kg Fully Automatic Top Load Washing Machine
"24,490",360°Bloomwash Ultra 7.0,Whirlpool 7 kg Fully Automatic Top Load Washing Machine
"20,999",Stainwash Ultra (N) 7.0,Whirlpool 7 kg Fully Automatic Top Load Washing Machine
"21,490",Stainwash Ultra (N) 7.0,Whirlpool 7 kg Fully Automatic Top Load Washing Machine
"26,290",WA75M4500HP/TL,Samsung 7.5 kg Fully Automatic Top Load Washing Machine Maroon
"13,990",Whitemagic Classic 601S FB,Whirlpool 6 kg Fully Automatic Top Load Washing Machine
